intersection_id,longitude,latitude,net_x,net_y,nearest_edge,enter_edge,exit_edge,nearest_lane,dist_m,to_junction,candidates
I3154,172.6411582,-43.53529913,1623.839,608.367,1189761076#2,1056154549,114914209#1,1189761076#2_0,0.502,cluster_3512168641_7183547786_7188914185_7252131330_#2more,1189761076#2:0.5m;1189761076#2:1.46m;1189761076#2:2.28m;1235089648:3.23m;-1235089649:3.23m;114914219:3.23m;114914219:3.23m;114914219:3.23m
I3171,172.642029,-43.53094829,1703.739,1090.187,4891254#0,4891254#0,-4891254#0,4891254#0_0,0.119,31064347,4891254#0:0.12m;-4891254#0:0.84m;4830778:2.08m;-4891254#1:2.24m;-4830778:2.24m;4891254#1:2.24m;194730196#1:99.52m;23150982#1:99.87m
I3195,172.6426339,-43.52439481,1766.993,1817.058,392044392#1,1071178644,-1071178644,392044392#1_0,0.041,31064643,392044392#1:0.04m;392044392#1:0.22m;26600510#1:0.69m;1239775827#2:0.72m;1239775827#2:0.72m;1239775828#1:0.72m;1239775828#1:0.72m;26600510#1:0.72m
I3198,172.6426483,-43.52087167,1775.884,2208.318,114770261,114770261,902156793#1,114770261_0,0.14,cluster_31104861_31149437_7248897541_7252311718_#4more,114770261:0.14m;114770261:0.35m;26600510#1:0.59m;114770261:0.62m;26600510#1:0.79m;902156794#1:1.27m;902156794#1:1.32m;902156793#1:1.34m
I3200,172.6426389,-43.52657186,1762.622,1575.265,1239775827#1,1239775827#1,1071178644,1239775827#1_0,0.349,31064642,1239775827#1:0.35m;23146872#1:0.41m;1239775827#1:0.5m;23146872#1:0.55m;26600519:0.65m;26600519:0.65m;-26600514#0:0.65m;942858501#1:0.65m
I3201,172.6426433,-43.52765026,1760.612,1455.49,335831540#1,396340836#3,335831540#1,335831540#1_0,0.367,cluster_444302819_7194785330_7194785353_7293401222_#1more,335831540#1:0.37m;335831540#1:0.57m;-4830815#1:0.59m;335831540#2:0.59m;4830815#1:0.59m;335831540#2:0.59m;942858501#0:49.55m;942858501#0:49.55m
I3208,172.6426613,-43.53311555,1750.078,848.48,777209676#0,1056154528#2,-1056154531#0,777209676#0_0,0.171,cluster_12920592589_12920592590_12920592591_12920592592_#8more,777209676#0:0.17m;777209676#0:0.53m;777209676#0:0.85m;1056154528#0:1.11m;-1056154528#0:1.21m;817015139:1.21m;817015139:1.21m;1056154528#2:14.5m
I3210,172.6426626,-43.53420485,1747.793,727.499,1056154527,1056154527,777209676#0,1056154527_1,2.375,9704643123,1056154527:2.38m;1056154527:3.1m;1056154529#1:3.8m;1056154529#1:3.94m;1056154530#0:3.94m;1415515150#1:3.94m;-1415515149:36.97m;1415515149:36.97m
I3212,172.6426727,-43.5352941,1746.22,606.51,1056154529#1,1235089650,1311909671#2,1056154529#1_0,0.655,cluster_10993270298_11450613539_12048646996_12048647004_#7more,1056154529#1:0.65m;1056154529#1:1.02m;194715885:1.02m;194715885:1.27m;384497887#1:1.38m;384497887#1:1.38m;1056154547#0:1.38m;1056154547#0:1.38m
I3213,172.6426726,-43.53641672,1743.749,481.831,777209675#1,777209675#1,335813776#3,777209675#1_1,0.576,cluster_10993270298_11450613539_12048646996_12048647004_#7more,777209675#1:0.58m;777209675#1:2.11m;26600479#0:7.3m;26600479#0:8.16m;26600479#0:8.89m;335813776#3:9.82m;1311909671#2:9.82m;1311909671#2:9.82m
I3220,172.6456864,-43.53529127,1989.73,602.01,1056154546#0,1382213591#1,-384497885#0,1056154546#0_0,0.123,cluster_12661172678_12661172679_12661172684_7252206029,1056154546#0:0.12m;1056154546#0:0.51m;1056154546#0:0.85m;139633217#7:1.07m;139633217#7:1.26m;1382213596#1:1.31m;1382213596#1:1.31m;194716060#1:1.31m
I3221,172.6427424,-43.53992947,1741.681,91.589,828933465,828933465,597576903,828933465_3,1.029,cluster_13518460517_13518460518_2434663039_2434663043_#4more,828933465:1.03m;597576903:1.7m;828933465:2.22m;597576903:2.74m;828933465:3.16m;597576903:3.52m;828933465:3.85m;250665343#1:5.31m
