route_ref,route_name,relation_id,from,to,direction,osm_way_count,sumo_edge_count,missing_osm_way_count,sumo_edges,osm_ways,missing_osm_ways
1,1 Cashmere to Rangiora,1598996,,,north,384,83,341,-139484443 139484443 -597576896#0 597576896#0 597576896#1 597576896#2 -807003661 807003661 -1467186698 701030406 -464000309 1238158274#1 -700830261#0 700830261#0 -1280080859 436516893#1 993201434#1 369800170#0 369800170#1 508372189 508372186 -369800173#0 369800173#0 -1015728523 1015728523 -1228958071 1228958071 -436514739#0 -436514739#1 -436514739#2 436514739#0 436514739#1 436514739#2 1383339034 987155155 830501797#0 683819893#1 -683819894#0 683819894#0 -830501798#1 -830501798#2 830501798#1 830501798#2 -993555374#0 993555374#0 -436514740 -1409575693#0 1409575693#0 1409575693#1 -993555375#2 993555375#2 -993555376#0 494827032#2 -651950549#0 651950549#0 -529843972 -124842990#1 124842990#1 124842990#2 -463039420#0 463039420#0 392044386#1 392044386#2 337505266#1 337282272#0 -1070563075#1 1070563075#1 -4830840#0 -4830840#1 -4830840#2 4830840#0 4830840#1 4830840#2 -114648693#1 114648693#1 114648693#2 -689754259#0 -689754259#1 689754259#1 -479979186 479979186 -182458340 182458340,1032504998 1032504999 475261596 1183562862 1183562861 1183562859 1183562860 777629558 23295068 1183562858 194714802 194714802 1183562858 833411365 833411366 777629562 520355938 180010046 777629571 816942381 901781315 896063920 777629564 1305826317 180010048 1305826318 1435560169 848271967 337481700 337481701 1019643301 531158491 531158490 23246372 531158489 1435560177 531158488 235737156 337481699 318030936 337481698 807003671 337481697 777629501 777629502 337481696 531158487 899354155 779533464 1330567909 531158486 777629499 777629500 337481695 777629498 337481694 531158485 531158484 531158483 531158482 531158481 114770280 597145335 531158480 592210044 807003668 807003669 23246369 760452659 807003667 807003666 592210045 337481693 194714803 337481692 337481691 337481690 337481689 337481688 337481687 235373548 4895032 673308264 31946882 114648686 139484443 597576896 807003661 1467186698 807003660 807003662 473556017 701030405 701030406 464000309 1238158274 464001213 436624278 700830261 1280080859 436516893 993201434 369800170 508372189 1329290626 508372186 369800173 1015728523 1228958071 436514739 1383339034 987155155 830501797 683819893 683819894 830501798 993555374 436514740 1409575693 993555375 993555376 494827032 651950549 529843972 392044394 101843348 124842990 114770271 463039420 392044386 337505266 337282271 337282272 1070563075 4830840 114648693 1255161078 689754259 139902419 530453577 479979186 182458340 823046957 182263829 823046958 823046959 530453583 833718353 182457994 889960737 889960738 530453588 114220252 180758412 530453593 530453597 530453602 530453606 628509559 530453610 628509562 530453614 646368204 530453618 804453006 838429391 114220284 530453627 530453623 530453630 530453633 686248980 686248981 530453636 194714507 788768777 530453640 182647561 530453643 829798672 4890664 480107191 182648404 1238158273 530453649 194712516 652173559 231164729 530453654 892084589 892084588 114648695 1238158272 114770295 235082124 530453657 1228804876 1238158271 38316868 34124469 646589153 821566854 114770278 530453666 4890649 555830017 530453673 821256535 1238158270 337126430 114648692 337126429 829322667 337126428 186986674 186986661 803474884 4890650 530457003 337280111 235393834 700618379 700618380 114648685 815024438 530457006 1372776763 337126419 1372776764 530457007 4727746 337126415 814318155 530457009 27464844 1253433873 1253433874 337126413 830883791 337126412 530457011 337126409 803495061 337126408 114648684 235405771 953202818 4733455 205300028 624316297 814596789 624316296 68694449 235407668 624316294 507923283 337124802 1267860361 1267860360 337285105 586725377 337285104 814003984 1267860363 586725374 1267860362 337124803 117768467 4733563 4728588 754084971 823506690 823506689 823506693 897865962 823506692 1457430804 1457430803 770782622 881195307 586725370 819537691 892887530 953202817 819537690 892901675 892887536 892887535 4728590 1310971945 626349643 626349644 4728606 4728607 185442815 1204565010 117768470 838385198 838059401 838385199 454434962 4752949 4753184 834184059 1395093612 480005661 1395093228 541418163 804375416 541418165 805915058 805915057 834182509 805915053 541418167 805915054 276665513 39373320 17794876 770781819 1442072420 1442072419 646370266 1442072417 1442072418 1245212734 1442072415 40252667 1442072414 1370757030 1442072412 1442072411 1227740607 1417948618 1417948619 1417948636 1442072409 1442072407 1442072408 398820471 1442072406 1442072405 991369241 1442072404 1338153818 1338153819 117754403 4831663 194726724 4831764 1267576086 117754408 819554362 17726472 4831401 33106136 4831917 34410486 4831915 117754415 117754411 279491406 4832009 756110641 1190602332 971963260 1190602333 1239775822 925433428 4831387 822291420 925433427 770781817 4831431 236398989 1442072379 321393321 321393320 1442072380 914240926 818522493 17791744 4728200 1251094606,1032504998 1032504999 475261596 1183562862 1183562861 1183562859 1183562860 777629558 23295068 1183562858 194714802 194714802 1183562858 833411365 833411366 777629562 520355938 180010046 777629571 816942381 901781315 896063920 777629564 1305826317 180010048 1305826318 1435560169 848271967 337481700 337481701 1019643301 531158491 531158490 23246372 531158489 1435560177 531158488 235737156 337481699 318030936 337481698 807003671 337481697 777629501 777629502 337481696 531158487 899354155 779533464 1330567909 531158486 777629499 777629500 337481695 777629498 337481694 531158485 531158484 531158483 531158482 531158481 114770280 597145335 531158480 592210044 807003668 807003669 23246369 760452659 807003667 807003666 592210045 337481693 194714803 337481692 337481691 337481690 337481689 337481688 337481687 235373548 4895032 673308264 31946882 114648686 807003660 807003662 473556017 701030405 464001213 436624278 1329290626 392044394 101843348 114770271 337282271 1255161078 139902419 530453577 823046957 182263829 823046958 823046959 530453583 833718353 182457994 889960737 889960738 530453588 114220252 180758412 530453593 530453597 530453602 530453606 628509559 530453610 628509562 530453614 646368204 530453618 804453006 838429391 114220284 530453627 530453623 530453630 530453633 686248980 686248981 530453636 194714507 788768777 530453640 182647561 530453643 829798672 4890664 480107191 182648404 1238158273 530453649 194712516 652173559 231164729 530453654 892084589 892084588 114648695 1238158272 114770295 235082124 530453657 1228804876 1238158271 38316868 34124469 646589153 821566854 114770278 530453666 4890649 555830017 530453673 821256535 1238158270 337126430 114648692 337126429 829322667 337126428 186986674 186986661 803474884 4890650 530457003 337280111 235393834 700618379 700618380 114648685 815024438 530457006 1372776763 337126419 1372776764 530457007 4727746 337126415 814318155 530457009 27464844 1253433873 1253433874 337126413 830883791 337126412 530457011 337126409 803495061 337126408 114648684 235405771 953202818 4733455 205300028 624316297 814596789 624316296 68694449 235407668 624316294 507923283 337124802 1267860361 1267860360 337285105 586725377 337285104 814003984 1267860363 586725374 1267860362 337124803 117768467 4733563 4728588 754084971 823506690 823506689 823506693 897865962 823506692 1457430804 1457430803 770782622 881195307 586725370 819537691 892887530 953202817 819537690 892901675 892887536 892887535 4728590 1310971945 626349643 626349644 4728606 4728607 185442815 1204565010 117768470 838385198 838059401 838385199 454434962 4752949 4753184 834184059 1395093612 480005661 1395093228 541418163 804375416 541418165 805915058 805915057 834182509 805915053 541418167 805915054 276665513 39373320 17794876 770781819 1442072420 1442072419 646370266 1442072417 1442072418 1245212734 1442072415 40252667 1442072414 1370757030 1442072412 1442072411 1227740607 1417948618 1417948619 1417948636 1442072409 1442072407 1442072408 398820471 1442072406 1442072405 991369241 1442072404 1338153818 1338153819 117754403 4831663 194726724 4831764 1267576086 117754408 819554362 17726472 4831401 33106136 4831917 34410486 4831915 117754415 117754411 279491406 4832009 756110641 1190602332 971963260 1190602333 1239775822 925433428 4831387 822291420 925433427 770781817 4831431 236398989 1442072379 321393321 321393320 1442072380 914240926 818522493 17791744 4728200 1251094606
1,1 Rangiora to Cashmere,12835307,Rangiora,Cashmere,south,398,85,352,-182458340 182458340 -479979186 479979186 -689754259#0 -689754259#1 689754259#1 -114648693#1 114648693#1 114648693#2 139807681#1 337504041#1 139807680#1 -406753472#1 -406753472#2 406753472#1 406753472#2 -463039420#0 463039420#0 -124842990#1 124842990#1 124842990#2 -529843972 -651950549#0 651950549#0 494827032#2 -993555376#0 -993555375#2 993555375#2 -1409575693#0 1409575693#0 1409575693#1 -436514740 -993555374#0 993555374#0 -830501798#1 -830501798#2 830501798#1 830501798#2 -683819894#0 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#0 -436514739#1 -436514739#2 436514739#0 436514739#1 436514739#2 -1228958071 1228958071 -1015728523 1015728523 -369800173#0 369800173#0 392044395 369800174 508372189 506014262 508372184 392044390#0 -1056138897#1 1056138897#1 -436515354 436515354 -1056138896#0 1056138896#0 646364260#1 1015751047 1015751048#0 1238158274#1 -464000309 701030406 -1467186698 -807003661 807003661 -597576896#0 597576896#0 597576896#1 597576896#2 -139484443 139484443,17791744 818522493 914240926 1442072380 321393320 321393321 1442072379 236398989 4831431 953202819 4728200 1251094606 925433427 822291420 4831387 925433428 1239775822 1239775829 756110641 1190602332 971963260 1190602333 1239775829 4832009 279491406 117754411 117754415 4831915 1239775826 1239775825 4831917 1239775824 1251094604 4831401 953202820 819554361 819554363 819554362 117754408 1267576086 4831764 194726724 4831663 117754403 1338153819 1338153818 1442072404 991369241 1442072405 1442072406 398820471 1442072408 1442072407 1442072409 1417948636 1417948619 1417948618 1227740607 1442072411 1442072412 1370757030 1442072414 40252667 1442072415 1245212734 1442072418 1442072417 646370266 1442072419 1442072420 770781819 17794876 39373320 276665513 805915050 541418168 805915052 805915051 276665511 4831379 4733648 805915056 1395093611 151181499 1395093229 480005661 1395093612 834184059 4753184 4752949 454434962 838385199 838059401 838385198 117768470 1204565010 185442815 4728607 4728606 626349644 626349643 1310971945 4728590 892887535 819537692 819537688 4728589 892887531 819537691 586725370 881195307 770782622 1457430803 1457430804 823506692 897865962 823506693 823506689 823506690 754084971 4728588 4733563 117768467 337124803 1267860362 586725374 1267860363 814003984 337285104 586725377 337285105 1267860360 1267860361 337124802 507923283 624316294 68694569 68694464 624316295 624316296 814596789 624316297 205300028 4733455 4727748 337126407 114648700 807398648 337126406 803495059 830883792 988790511 337126410 530457010 235402369 27464842 337126411 231162250 337126417 530457008 1460599509 151945731 1372776762 337126420 114648704 700618382 700618381 337280110 803906180 530457005 530457004 4890648 4890647 337126423 186986584 337126424 834168341 337126425 909782281 337126427 805581241 114648691 337126432 646591228 530453677 34124468 507538368 819932809 530453670 530453663 646589152 114770277 815462093 530453660 38316868 1238158271 1228804876 530453657 235082124 114770295 1238158272 114648695 892084588 892084589 530453654 652173560 652173561 652173559 194712516 530453649 1238158273 182648404 480107191 4890664 829798672 530453643 182647561 530453640 788768777 194714507 530453636 686248981 686248980 530453633 530453630 530453623 530453627 114220284 838429391 804453006 530453618 646368204 530453614 628509562 530453610 628509559 530453606 530453602 530453597 530453593 180758412 114220252 530453588 833718354 889960739 833718353 530453583 823046959 823046958 182263829 823046957 182458340 479979186 530453577 139902419 689754259 1255161078 114648693 139807681 235752994 337504045 337504041 139807680 406753472 463039420 114770271 124842990 101843348 392044394 529843972 651950549 494827032 993555376 993555375 1409575693 436514740 993555374 830501798 683819894 1395896891 1395896893 987155148 1395896894 987155157 436514739 1228958071 1015728523 369800173 392044395 369800174 1329290625 508372189 1329290626 506014262 508372184 392044390 1056138897 436515354 1056138896 646364260 1015751047 1015751048 464001213 1238158274 464000309 701030406 701030405 473556017 807003662 807003660 1467186698 807003661 597576896 139484443 114648686 31946882 673308264 4895032 235373548 337481687 337481688 337481689 337481690 337481691 337481692 194714803 337481693 592210045 807003666 807003667 760452659 23246369 807003669 807003668 592210044 531158480 597145335 114770280 531158481 531158482 531158483 531158484 531158485 337481694 777629498 337481695 777629500 777629499 531158486 1330567909 779533464 899354155 531158487 337481696 777629502 777629501 337481697 807003671 337481698 318030936 337481699 235737156 531158488 1435560177 531158489 23246372 531158490 531158491 1019643301 337481701 337481700 848271967 23246367 180010048 19716024 777629564 896063920 901781315 816942381 777629569 777629570 520355938 777629562 833411366 833411365 1183562858 194714802 194714802 1183562858 23295068 777629558 1183562860 1183562859 1183562861 1183562862 475261596 1032504999 1032504998,17791744 818522493 914240926 1442072380 321393320 321393321 1442072379 236398989 4831431 953202819 4728200 1251094606 925433427 822291420 4831387 925433428 1239775822 1239775829 756110641 1190602332 971963260 1190602333 1239775829 4832009 279491406 117754411 117754415 4831915 1239775826 1239775825 4831917 1239775824 1251094604 4831401 953202820 819554361 819554363 819554362 117754408 1267576086 4831764 194726724 4831663 117754403 1338153819 1338153818 1442072404 991369241 1442072405 1442072406 398820471 1442072408 1442072407 1442072409 1417948636 1417948619 1417948618 1227740607 1442072411 1442072412 1370757030 1442072414 40252667 1442072415 1245212734 1442072418 1442072417 646370266 1442072419 1442072420 770781819 17794876 39373320 276665513 805915050 541418168 805915052 805915051 276665511 4831379 4733648 805915056 1395093611 151181499 1395093229 480005661 1395093612 834184059 4753184 4752949 454434962 838385199 838059401 838385198 117768470 1204565010 185442815 4728607 4728606 626349644 626349643 1310971945 4728590 892887535 819537692 819537688 4728589 892887531 819537691 586725370 881195307 770782622 1457430803 1457430804 823506692 897865962 823506693 823506689 823506690 754084971 4728588 4733563 117768467 337124803 1267860362 586725374 1267860363 814003984 337285104 586725377 337285105 1267860360 1267860361 337124802 507923283 624316294 68694569 68694464 624316295 624316296 814596789 624316297 205300028 4733455 4727748 337126407 114648700 807398648 337126406 803495059 830883792 988790511 337126410 530457010 235402369 27464842 337126411 231162250 337126417 530457008 1460599509 151945731 1372776762 337126420 114648704 700618382 700618381 337280110 803906180 530457005 530457004 4890648 4890647 337126423 186986584 337126424 834168341 337126425 909782281 337126427 805581241 114648691 337126432 646591228 530453677 34124468 507538368 819932809 530453670 530453663 646589152 114770277 815462093 530453660 38316868 1238158271 1228804876 530453657 235082124 114770295 1238158272 114648695 892084588 892084589 530453654 652173560 652173561 652173559 194712516 530453649 1238158273 182648404 480107191 4890664 829798672 530453643 182647561 530453640 788768777 194714507 530453636 686248981 686248980 530453633 530453630 530453623 530453627 114220284 838429391 804453006 530453618 646368204 530453614 628509562 530453610 628509559 530453606 530453602 530453597 530453593 180758412 114220252 530453588 833718354 889960739 833718353 530453583 823046959 823046958 182263829 823046957 530453577 139902419 1255161078 235752994 337504045 114770271 101843348 392044394 1395896893 987155157 1329290625 1329290626 464001213 701030405 473556017 807003662 807003660 114648686 31946882 673308264 4895032 235373548 337481687 337481688 337481689 337481690 337481691 337481692 194714803 337481693 592210045 807003666 807003667 760452659 23246369 807003669 807003668 592210044 531158480 597145335 114770280 531158481 531158482 531158483 531158484 531158485 337481694 777629498 337481695 777629500 777629499 531158486 1330567909 779533464 899354155 531158487 337481696 777629502 777629501 337481697 807003671 337481698 318030936 337481699 235737156 531158488 1435560177 531158489 23246372 531158490 531158491 1019643301 337481701 337481700 848271967 23246367 180010048 19716024 777629564 896063920 901781315 816942381 777629569 777629570 520355938 777629562 833411366 833411365 1183562858 194714802 194714802 1183562858 23295068 777629558 1183562860 1183562859 1183562861 1183562862 475261596 1032504999 1032504998
140,140 Mount Pleasant to Russley,13871329,Mount Pleasant,Russley,,245,25,224,-821111101 821111101 597576953#1 597576948 813293047 821114320 1018471572 828933465 597576921#1 1018478677 597576915#0 597576915#1 4894860 1018480661 114501127#1 182824587#0 182824587#1 26701176 777634276 1015754937#0 114501102#1 1015756826#0 777634272#1 1015757971#0 1015757971#1,346126838 116421897 27144603 116421892 27144435 116421890 27144691 1132598272 1132598271 400713850 579786519 797325908 997768088 579786540 579786522 579786521 231316141 101471690 579786533 337491488 887984862 337491489 337491487 337491486 155374239 23235778 23235717 155374242 103119827 103119825 235742868 1252667703 1252667702 490442864 116420556 27879381 101647009 337258891 337258892 206060173 101647370 140190952 551355046 139650980 23234470 1259199855 139650991 1259199873 1259199872 760427795 139650983 100961330 1460402489 592203516 205304116 592203522 116419154 539956939 760430797 337491476 760617930 32840383 592203525 194728492 520139286 235573515 760439731 760439732 1263980580 999730456 145219430 821111101 597576930 597576953 597576948 813293047 821114321 821114320 114770298 828933466 1018471572 828933465 597576921 777634278 1018478677 597576915 4894860 1018480661 1018480662 114501127 182824587 26701176 1015754938 777634276 1015754937 114501102 597576888 1015756826 777634272 1015757971 317887424 1262068233 1026983479 772676268 114501135 817274876 147498583 1015761451 1391762156 777634264 147496049 147496043 496218521 496218518 41649481 147496030 516567873 777629540 1015764021 777629541 1019264695 516567874 337499888 531164120 14030135 1447580026 114220365 180763997 337265606 997866240 114220316 531335301 1053786489 337265607 1208911460 531335300 777634288 394989966 1053786490 1174630646 235244493 828014870 777629527 828014868 828014869 777629528 114220314 812993570 1266420915 812993567 777634292 777634293 777634291 777634294 12697109 777634295 815058697 592210057 147379141 181412703 14028108 1059188812 491709494 1059188807 1059188806 1057044454 1057044455 491709493 337121930 1257015163 1257015162 14027140 1176510054 777629509 1257679274 1257679275 1257679276 1169443014 1203851265 777629507 777629508 777629505 777629506 777629513 139906184 1091741201 777629511 1459960437 777629514 12696901 809646878 1011561525 1240848920 777629515 1070812570 1240848919 147380378 1204586284 147380374 235245537 147380373 1016011421 147228119 147228116 778706852 147228102 1018435635 1018435636 1018435639 1018435641 1018435642 1012649560 1012649557 643909730 643909729 147228109 643909728 12689504 279484912 149510290 1016010546 1016010545 337118781 12687495 819623564 892076919 119004739 39373919 27464847 1018398868 1018398867 829769697 337118783 531342143 337118782 819639425 337354860 15712833 1372517589 139633840 1164272670 337113271 1017532229 1017532226 1017532228,346126838 116421897 27144603 116421892 27144435 116421890 27144691 1132598272 1132598271 400713850 579786519 797325908 997768088 579786540 579786522 579786521 231316141 101471690 579786533 337491488 887984862 337491489 337491487 337491486 155374239 23235778 23235717 155374242 103119827 103119825 235742868 1252667703 1252667702 490442864 116420556 27879381 101647009 337258891 337258892 206060173 101647370 140190952 551355046 139650980 23234470 1259199855 139650991 1259199873 1259199872 760427795 139650983 100961330 1460402489 592203516 205304116 592203522 116419154 539956939 760430797 337491476 760617930 32840383 592203525 194728492 520139286 235573515 760439731 760439732 1263980580 999730456 145219430 597576930 821114321 114770298 828933466 777634278 1018480662 1015754938 597576888 317887424 1262068233 1026983479 772676268 114501135 817274876 147498583 1015761451 1391762156 777634264 147496049 147496043 496218521 496218518 41649481 147496030 516567873 777629540 1015764021 777629541 1019264695 516567874 337499888 531164120 14030135 1447580026 114220365 180763997 337265606 997866240 114220316 531335301 1053786489 337265607 1208911460 531335300 777634288 394989966 1053786490 1174630646 235244493 828014870 777629527 828014868 828014869 777629528 114220314 812993570 1266420915 812993567 777634292 777634293 777634291 777634294 12697109 777634295 815058697 592210057 147379141 181412703 14028108 1059188812 491709494 1059188807 1059188806 1057044454 1057044455 491709493 337121930 1257015163 1257015162 14027140 1176510054 777629509 1257679274 1257679275 1257679276 1169443014 1203851265 777629507 777629508 777629505 777629506 777629513 139906184 1091741201 777629511 1459960437 777629514 12696901 809646878 1011561525 1240848920 777629515 1070812570 1240848919 147380378 1204586284 147380374 235245537 147380373 1016011421 147228119 147228116 778706852 147228102 1018435635 1018435636 1018435639 1018435641 1018435642 1012649560 1012649557 643909730 643909729 147228109 643909728 12689504 279484912 149510290 1016010546 1016010545 337118781 12687495 819623564 892076919 119004739 39373919 27464847 1018398868 1018398867 829769697 337118783 531342143 337118782 819639425 337354860 15712833 1372517589 139633840 1164272670 337113271 1017532229 1017532226 1017532228
140,140 Russley to Mount Pleasant,4290280,Russley,Mount Pleasant,,245,26,225,-1015757969#0 1015757969#0 1026983480#1 1015756825#0 777634273#1 1015754936#0 139810524#1 1015753884 4894859#0 4894859#1 1018480659 114501104#1 1018478676#0 1018478676#1 103086813#0 103086813#1 103086813#2 1018471571 828933467#0 597576903 1018469846 902156787 821111102 531164117#0 -821111101 821111101,1372517589 139633840 1164272670 337113271 1017532229 1017532226 1017532228 1017532227 1372517590 114220265 819639422 318027822 819639423 114220298 337354861 337354859 1018398866 829771643 337118778 243890811 280989536 1016010548 1016010547 819623563 148354296 819623566 337118780 12689344 279484912 12689504 643909728 147228109 643909729 643909730 34121361 1159571849 1012649558 1012649559 1018435644 1018435643 1018435640 1018435638 1018435637 337119246 194734620 317886718 147228108 147380373 147380371 1053791702 1392458358 139906178 777629516 1240848919 1070812570 777629515 1240848920 1011561525 809646878 1459960438 139906180 777629512 14027207 777629513 777629506 777629505 777629508 777629507 1203851265 1169443014 1257679276 1257679275 1257679274 777629509 1176510054 14027140 1257015162 1257015163 337121930 491709493 1057044455 1059188811 1059188810 1059188809 817699115 14028108 181412703 147379141 592210057 815058697 777634295 12697109 777634294 777634291 777634293 777634292 812993567 1266420915 812993570 114220314 777629528 828014869 828014868 777629527 828014870 235244493 1174630646 1174630628 1174630632 1053786489 531335301 114220316 997866240 337265606 180763997 114220365 1447580026 14030135 531164120 337499888 516567874 1015764022 479999309 1015764023 147496038 147496039 777629543 147496031 496218525 496218529 147496047 1015761449 1015761450 777634266 26724276 777634268 1396134876 147498582 1467161243 103086814 597569350 1015757969 1026983480 317887423 1469701234 1015756825 777634273 1015754936 139810524 1015753884 4894859 1018480660 1018480659 597576892 114501104 1018478676 103086813 828933468 1018471571 828933467 597576903 597576907 1018469846 821114318 902156787 114770265 821111103 821111102 531164117 597576930 821111101 145219430 235573516 999730457 235573517 235574181 235573513 520139286 194728492 592203525 32840383 23235351 760430799 760430798 592203526 116419143 592203523 760427792 1460402487 1460402488 205304115 760427791 23150637 592203517 760427793 139650989 1259199855 23234470 139650980 182802278 23234465 206060174 662566057 337258894 27879381 116420556 490442864 1252667702 1252667703 235742868 103119825 103119827 155374242 23235717 23235778 155374239 337491486 337491487 337491489 887984862 337491488 23235080 597576977 533541686 235754117 114914336 579786524 533541685 490442857 23150799 23150802 822310266 23323154 579786537 997763482 579786516 1132598271 1132598272 27144691 116421890 27144435 116421892 27144603 116421897 346126838,1372517589 139633840 1164272670 337113271 1017532229 1017532226 1017532228 1017532227 1372517590 114220265 819639422 318027822 819639423 114220298 337354861 337354859 1018398866 829771643 337118778 243890811 280989536 1016010548 1016010547 819623563 148354296 819623566 337118780 12689344 279484912 12689504 643909728 147228109 643909729 643909730 34121361 1159571849 1012649558 1012649559 1018435644 1018435643 1018435640 1018435638 1018435637 337119246 194734620 317886718 147228108 147380373 147380371 1053791702 1392458358 139906178 777629516 1240848919 1070812570 777629515 1240848920 1011561525 809646878 1459960438 139906180 777629512 14027207 777629513 777629506 777629505 777629508 777629507 1203851265 1169443014 1257679276 1257679275 1257679274 777629509 1176510054 14027140 1257015162 1257015163 337121930 491709493 1057044455 1059188811 1059188810 1059188809 817699115 14028108 181412703 147379141 592210057 815058697 777634295 12697109 777634294 777634291 777634293 777634292 812993567 1266420915 812993570 114220314 777629528 828014869 828014868 777629527 828014870 235244493 1174630646 1174630628 1174630632 1053786489 531335301 114220316 997866240 337265606 180763997 114220365 1447580026 14030135 531164120 337499888 516567874 1015764022 479999309 1015764023 147496038 147496039 777629543 147496031 496218525 496218529 147496047 1015761449 1015761450 777634266 26724276 777634268 1396134876 147498582 1467161243 103086814 597569350 317887423 1469701234 1018480660 597576892 828933468 597576907 821114318 114770265 821111103 597576930 145219430 235573516 999730457 235573517 235574181 235573513 520139286 194728492 592203525 32840383 23235351 760430799 760430798 592203526 116419143 592203523 760427792 1460402487 1460402488 205304115 760427791 23150637 592203517 760427793 139650989 1259199855 23234470 139650980 182802278 23234465 206060174 662566057 337258894 27879381 116420556 490442864 1252667702 1252667703 235742868 103119825 103119827 155374242 23235717 23235778 155374239 337491486 337491487 337491489 887984862 337491488 23235080 597576977 533541686 235754117 114914336 579786524 533541685 490442857 23150799 23150802 822310266 23323154 579786537 997763482 579786516 1132598271 1132598272 27144691 116421890 27144435 116421892 27144603 116421897 346126838
27,27 Huntsbury to Northwood,17984923,Huntsbury,Northwood,north,220,78,175,-235749070 235749070 1356531822#1 -1394095983#0 -116419807#1 -116419807#2 116419807#1 116419807#2 392044386#1 392044386#2 -463039420#0 463039420#0 -124842990#1 124842990#1 124842990#2 -529843972 -651950549#0 651950549#0 494827032#2 -993555376#0 -993555375#2 993555375#2 -1409575693#0 1409575693#0 1409575693#1 -436514740 -993555374#0 993555374#0 -830501798#1 -830501798#2 830501798#1 830501798#2 -683819894#0 683819894#0 683819893#1 830501797#0 987155155 1383339034 -436514739#0 -436514739#1 -436514739#2 436514739#0 436514739#1 436514739#2 -1228958071 1228958071 -1015728523 1015728523 -369800173#0 369800173#0 508372186 508372189 369800170#0 369800170#1 993201434#1 436516893#1 -1280080859 -700830261#0 700830261#0 1015751048#0 1015751047 646364260#1 -770109403#2 770109403#2 -114915928 114915928 -1018478675#0 -1018478675#1 1018478675#0 1018478675#1 597576915#0 597576915#1 1018478677 597576921#1 828933465 1018471572 821114320 1018469845,76327185 1311898399 1311898394 4727960 4747500 1311898397 4727951 4727915 4733341 1311898375 818869504 4727972 1311898378 1311898377 1311898383 4728029 513197160 1372776764 337126419 1372776763 530457006 815024438 1228807667 650914639 4900186 4900242 1371965389 114648690 235386450 4900475 194712962 4920184 109354738 4840181 1311898386 114770285 1447269490 1447269489 1447269491 1447269488 1447269483 1447269482 1447269485 114770296 1472202031 1472202033 194714506 1472202038 292294676 120607786 1028873927 904352415 337123822 194714094 146429082 146429083 114648694 1434296327 1434296328 490426820 1434296326 1434296329 231164769 1388698617 480107191 182648404 1238158273 530453649 194712516 652173559 652173561 652173560 530453654 892084589 892084588 114648695 1238158272 114770295 235082124 530453657 1228804876 1238158271 38316868 530453660 815462093 235083116 847858814 337126896 847858815 563519410 120608178 563519407 559690380 559690378 709381841 951333668 896075893 709381843 1246774124 1300659024 1300659025 854364413 951333669 838429387 1023474012 1023474011 1023474009 1235958812 1023474010 1235958813 1235958810 1235958811 849946322 154420536 849946321 1356531803 114770297 899284074 4890881 777170760 194712315 235749070 1097871088 41655469 1356531822 899284072 139807679 1394095984 1394095985 1394095983 116419807 392044386 463039420 114770271 124842990 101843348 392044394 529843972 651950549 494827032 993555376 993555375 1409575693 436514740 993555374 830501798 683819894 683819893 830501797 987155155 1383339034 436514739 1228958071 1015728523 369800173 508372186 1329290626 508372189 369800170 993201434 436516893 1280080859 700830261 436624278 1015751048 1015751047 646364260 770109403 114915928 1018478675 950220293 597576915 1018478677 777634278 597576921 828933465 1018471572 828933466 114770298 821114320 821114321 821114322 1018469845 231160338 231160343 337487048 235764918 337487049 337487050 1373218038 592203535 819926182 231160339 819926183 337487051 760452664 231160341 337487052 337487053 23246275 23246274 817621085 817621087 817621088 817621083 235556100 337487056 337487057 950220294 1272143746 223936440 1485923701 1485929299 1485929300 23272405 130509033 134848564 1311898391 1311898388 30654787,76327185 1311898399 1311898394 4727960 4747500 1311898397 4727951 4727915 4733341 1311898375 818869504 4727972 1311898378 1311898377 1311898383 4728029 513197160 1372776764 337126419 1372776763 530457006 815024438 1228807667 650914639 4900186 4900242 1371965389 114648690 235386450 4900475 194712962 4920184 109354738 4840181 1311898386 114770285 1447269490 1447269489 1447269491 1447269488 1447269483 1447269482 1447269485 114770296 1472202031 1472202033 194714506 1472202038 292294676 120607786 1028873927 904352415 337123822 194714094 146429082 146429083 114648694 1434296327 1434296328 490426820 1434296326 1434296329 231164769 1388698617 480107191 182648404 1238158273 530453649 194712516 652173559 652173561 652173560 530453654 892084589 892084588 114648695 1238158272 114770295 235082124 530453657 1228804876 1238158271 38316868 530453660 815462093 235083116 847858814 337126896 847858815 563519410 120608178 563519407 559690380 559690378 709381841 951333668 896075893 709381843 1246774124 1300659024 1300659025 854364413 951333669 838429387 1023474012 1023474011 1023474009 1235958812 1023474010 1235958813 1235958810 1235958811 849946322 154420536 849946321 1356531803 114770297 899284074 4890881 777170760 194712315 1097871088 41655469 899284072 139807679 1394095984 1394095985 114770271 101843348 392044394 1329290626 436624278 950220293 777634278 828933466 114770298 821114321 821114322 231160338 231160343 337487048 235764918 337487049 337487050 1373218038 592203535 819926182 231160339 819926183 337487051 760452664 231160341 337487052 337487053 23246275 23246274 817621085 817621087 817621088 817621083 235556100 337487056 337487057 950220294 1272143746 223936440 1485923701 1485929299 1485929300 23272405 130509033 134848564 1311898391 1311898388 30654787
