intersection_id,latitude,longitude,street_1,street_2,street_3,street_4,RoadIntersectionID,X,Y,IntersectionName
I2976,-43.53993495,172.63665203,Colombo,Moorhouse,,,3971,1570644.7348,5179159.3867,Colombo Street / Moorhouse Avenue
I3043,-43.52087534,172.63808853,Bealey,Sherborne,,,4042,1570751.5827,5181276.629,Bealey Avenue / Sherborne Street
I3063,-43.52875993,172.63870306,Armagh,New Regent,,,4070,1570805.0493,5180401.1936,Armagh Street / New Regent Street
I3064,-43.52984975,172.63870100,Gloucester,New Regent,,,4071,1570805.4087,5180280.1585,Gloucester Street / New Regent Street
I3088,-43.52087422,172.63962245,Bealey,Manchester,,,4101,1570875.5484,5181277.2918,Manchester Street / Bealey Avenue
I3093,-43.52657835,172.63962638,Kilmore,Manchester,,,4106,1570878.6093,5180643.7997,Manchester Street / Kilmore Street
I3096,-43.52875962,172.63967710,Armagh,Manchester,,,4111,1570883.7573,5180401.5685,Manchester Street / Armagh Street
I3097,-43.53094468,172.63968340,Manchester,Worcester,,,4116,1570885.3174,5180158.9011,Worcester Street / Manchester Street
I3098,-43.52985171,172.63968430,Gloucester,Manchester,,,4114,1570884.8644,5180280.2851,Gloucester Street / Manchester Street
I3100,-43.53312209,172.63969647,Cashel,Manchester,,,4126,1570887.4212,5179917.0851,Cashel Street / Manchester Street
I3104,-43.53530046,172.63966638,Manchester,Tuam,,,4119,1570886.0377,5179675.1478,Manchester Street / Tuam Street
I3105,-43.53421612,172.63964454,High,Lichfield,Manchester,,4110,1570883.7511,5179795.5655,Manchester Street / High Street / Lichfield Street
I3107,-43.53639221,172.63965699,Manchester,St Asaph,,,4118,1570885.8041,5179553.8959,Manchester Street / St Asaph Street
I3112,-43.53992779,172.63964455,Manchester,Moorhouse,Pilgrim,,4123,1570886.5008,5179161.234,Moorhouse Avenue / Manchester Street / Pilgrim Place
I3154,-43.53529913,172.64115822,High,Tuam,,,4183,1571006.574,5179675.8166,Tuam Street / High Street
I3171,-43.53094829,172.64202904,Latimer,Worcester,,,4203,1571074.854,5180159.318,Worcester Street / Latimer Square
I3171,-43.53093246,172.64329451,Latimer,Worcester,,,4284,1571177.1006,5180161.5154,Worcester Street / Latimer Square
I3195,-43.52439481,172.64263385,Madras,Salisbury,,,4240,1571120.5986,5180887.3496,Madras Street / Salisbury Street
I3198,-43.52087167,172.64264826,Bealey,Madras,,,4239,1571120.0824,5181278.6295,Madras Street / Bealey Avenue
I3200,-43.52657186,172.64263888,Kilmore,Madras,,,4243,1571122.0437,5180645.5713,Madras Street / Kilmore Street
I3201,-43.52765026,172.64264327,Chester East,Madras,,,4245,1571122.9127,5180525.8064,Madras Street / Chester Street East
I3208,-43.53311555,172.64266128,Cashel,Madras,,,4249,1571126.9749,5179918.8446,Cashel Street / Madras Street
I3210,-43.53420485,172.64266260,Lichfield,Madras,,,4251,1571127.6013,5179797.8691,Madras Street / Lichfield Street
I3212,-43.53529410,172.64267266,Madras,Tuam,,,4255,1571128.9343,5179676.9019,Madras Street / Tuam Street
I3213,-43.53641672,172.64267255,High,Madras,St Asaph,,4256,1571129.4605,5179552.2241,Madras Street / St Asaph Street / High Street
I3220,-43.53529127,172.64568641,Barbadoes,Tuam,,,4377,1571372.4359,5179678.258,Barbadoes Street / Tuam Street
I3221,-43.53992947,172.64274244,Gasson,Madras,Moorhouse,,4269,1571136.7832,5179162.1272,Madras Street / Moorhouse Avenue / Gasson Street
I3238,,,Gloucester,Latimer,Madras,,,,,
I3239,-43.53094829,172.64202904,Latimer,Worcester,,,4203,1571074.854,5180159.318,Worcester Street / Latimer Square
I3239,-43.53093246,172.64329451,Latimer,Worcester,,,4284,1571177.1006,5180161.5154,Worcester Street / Latimer Square
I3240,,,Hereford,Latimer,Madras,,,,,
I3255,-43.52655916,172.64426971,Kilmore,Oxford,,,4313,1571253.8229,5180647.546,Oxford Terrace / Kilmore Street
I3255,-43.52655463,172.64992444,Kilmore,Oxford,,,4523,1571710.7737,5180649.9882,Oxford Terrace / Kilmore Street
I3258,-43.53643393,172.64386760,Ferry,St Asaph,,,4303,1571226.0237,5179550.7278,Ferry Road / St Asaph Street
I3303,-43.52436797,172.64564756,Barbadoes,Salisbury,,,4357,1571364.1293,5180891.3725,Barbadoes Street / Salisbury Street
I3304,-43.52086579,172.64566828,Barbadoes,Bealey,,,4358,1571364.1475,5181280.3259,Barbadoes Street / Bealey Avenue
I3307,-43.52655951,172.64565627,Barbadoes,Kilmore,,,4363,1571365.8698,5180647.9858,Barbadoes Street / Kilmore Street
I3314,-43.53093128,172.64567089,Barbadoes,Worcester,,,4370,1571369.119,5180162.4669,Worcester Street / Barbadoes Street
I3315,-43.53201935,172.64567525,Barbadoes,Hereford,,,4372,1571369.986,5180041.629,Barbadoes Street / Hereford Street
I3317,-43.52983912,172.64566904,Barbadoes,Gloucester,,,4369,1571368.4531,5180283.7609,Gloucester Street / Barbadoes Street
