flow_id,example_vehicle_id,edge_count,from_edge,to_edge,sumo_edges
I3239_I3171_inf_36_08_00_Thru_bus,I3239_I3171_inf_36_08_00_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_08_15_Thru_bus,I3239_I3171_inf_36_08_15_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_08_30_Thru_bus,I3239_I3171_inf_36_08_30_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_08_45_Thru_bus,I3239_I3171_inf_36_08_45_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_13_00_Thru_bus,I3239_I3171_inf_36_13_00_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_13_15_Thru_bus,I3239_I3171_inf_36_13_15_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_13_30_Thru_bus,I3239_I3171_inf_36_13_30_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_13_45_Thru_bus,I3239_I3171_inf_36_13_45_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_16_00_Thru_bus,I3239_I3171_inf_36_16_00_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_16_15_Thru_bus,I3239_I3171_inf_36_16_15_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
