intersection_id,street_1,street_2,street_3,street_4,RoadIntersectionID,IntersectionName,status
I3307,Barbadoes,Kilmore,,,4363,Barbadoes Street / Kilmore Street,matched
I3314,Barbadoes,Worcester,,,4370,Worcester Street / Barbadoes Street,matched
I3315,Barbadoes,Hereford,,,4372,Barbadoes Street / Hereford Street,matched
I3317,Barbadoes,Gloucester,,,4369,Gloucester Street / Barbadoes Street,matched
I3320,Barbadoes,Tuam,,,4377,Barbadoes Street / Tuam Street,matched
I3322,Barbadoes,St Asaph,,,4378,Barbadoes Street / St Asaph Street,matched
I3323,Barbadoes,Ferry,,,4379,Ferry Road / Barbadoes Street,matched
I3325,Barbadoes,Moorhouse,Waltham,,4381,Barbadoes Street / Moorhouse Avenue / Waltham Road,matched
I3457,Kilmore,Oxford,,,4313,Oxford Terrace / Kilmore Street,ambiguous
I3457,Kilmore,Oxford,,,4523,Oxford Terrace / Kilmore Street,ambiguous
I3475,Bealey,Fitzgerald,London,Whitmore,4550,Bealey Avenue / Fitzgerald Avenue / London Street / Whitmore Street,matched
I3484,Avonside,Fitzgerald,Kilmore,,4562,Avonside Drive / Fitzgerald Avenue / Kilmore Street,matched
I3485,Fitzgerald,Gloucester,,,4557,Gloucester Street / Fitzgerald Avenue,matched
I3486,Fitzgerald,Worcester,,,4563,Worcester Street / Fitzgerald Avenue,matched
I3488,Cashel,Fitzgerald,,,4566,Cashel Street / Fitzgerald Avenue,matched
I3489,Fitzgerald,Hereford,,,4564,Hereford Street / Fitzgerald Avenue,matched
I3490,Fitzgerald,Lichfield,,,4570,Fitzgerald Avenue / Lichfield Street,matched
I3492,Fitzgerald,Tuam,,,4567,Tuam Street / Fitzgerald Avenue,ambiguous
I3492,Fitzgerald,Tuam,,,4569,Tuam Street / Fitzgerald Avenue,ambiguous
I3494,Ferry,Fitzgerald,,,4576,Ferry Road / Fitzgerald Avenue,matched
I3497,Fitzgerald,St Asaph,,,4571,St Asaph Street / Fitzgerald Avenue,matched
I3502,Falsgrave,Fitzgerald,Moorhouse,,4578,Moorhouse Avenue / Fitzgerald Avenue / Falsgrave Street,matched
